Protein, Ligand, E1, E2, E3, E4, E5, E6, E7, E8, E9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,0,-9.4,-9.3,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,1,-9.5,-9.1,-9.1,-9.1,-9.1,-9.0,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,2,-9.4,-9.2,-9.1,-9.1,-9.0,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,3,-9.4,-9.1,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,4,-9.4,-9.1,-9.0,-9.0,-9.0,-9.0,-8.9,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,5,-9.4,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,6,-9.4,-9.2,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,7,-9.4,-9.2,-9.2,-9.1,-9.1,-9.0,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,8,-9.4,-9.3,-9.3,-9.2,-9.1,-9.0,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGG,9,-9.4,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,0,-9.1,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,1,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,4,-9.0,-9.0,-9.0,-8.9,-8.8,-8.8,-8.8,-8.6,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,5,-8.7,-8.6,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,7,-9.0,-9.0,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,8,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGGM,9,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9,-8.9,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,0,-8.8,-8.6,-8.5,-8.4,-8.4,-8.4,-8.4,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,1,-8.8,-8.6,-8.4,-8.4,-8.4,-8.3,-8.3,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,2,-8.8,-8.6,-8.5,-8.5,-8.5,-8.5,-8.4,-8.4,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,3,-8.8,-8.6,-8.6,-8.5,-8.5,-8.5,-8.4,-8.4,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,4,-8.7,-8.7,-8.6,-8.5,-8.4,-8.4,-8.3,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,5,-8.8,-8.6,-8.6,-8.5,-8.4,-8.4,-8.4,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,6,-8.8,-8.6,-8.6,-8.5,-8.5,-8.5,-8.3,-8.3,-8.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,7,-8.8,-8.6,-8.6,-8.5,-8.5,-8.5,-8.4,-8.4,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,8,-8.8,-8.6,-8.6,-8.5,-8.4,-8.4,-8.3,-8.3,-8.3
